atoll,lat,long,total_atoll_area_sqkm,annual_precipitation_mm,hurricanes_50km,rainfall_anomaly,distance_high_island_km,distance_continent_km
Aitutaki,-18.897,-159.771,50,1984,5,,8,4864
Arrecife_Alacran,22.4754,-89.6937,300,445,10,,547,131
Bikini,11.5391494,165.2716261,594,1544,0,0.87999998,738,3545
Caroline,-9.9594389,-150.2053785,24,1513,0,2.69999994,740,6196
Cocos,-12.141876,96.8677068,126,1994,1,-1.839999959,963,2087
Eniwetok,11.4205556,162.3405556,1001,1523,3,0.939999979,656,3295
French_Frigate_Shoals,23.7551,-166.2096,940,939,2,-0.279999994,679,5389
Glover,16.7396462,-87.8116553,232,1347,13,,678,48
Jaluit,6.1610085,169.4736579,690,3091,3,-1.479999967,722,3498
Johnston,16.728912,-169.5338365,13,703,4,-0.149999997,1179,6163
Kapingamarangi,1.0673232,154.7624414,74,3193,0,0.249999994,561,1873
Manuae,-19.2697,-158.9441,6,1707,2,-1.979999956,230,4903
Maria,-21.810839,-154.705309,9,1894,0,-1.379999969,523,5246
Nui,-7.2258,177.1546,14,3304,0,4.969999889,581,3272
Ontong_Java,-5.349,159.3282,1389,3200,0,0.359999992,265,1862
Pearl_and_Hermes,27.873,-175.8354,809,1082,1,-0.679999985,1742,4401
Puluwat,7.3592,149.1893,6.2,2420,1,-2.989999933,259,2126
Rongelap,11.1629026,166.8943033,1094,1651,1,0.87999998,778,3626
Suwarrow,-13.276,-163.127,131,2400,1,-0.999999978,688,4791
