islet,atoll,area_sqkm
Aitutaki-Akaiami,Aitutaki,0.4191
Aitutaki-Akitua,Aitutaki,0.1486
Aitutaki-Angarei,Aitutaki,0.1307
Aitutaki-Ee,Aitutaki,0.2921
Aitutaki-Maina,Aitutaki,0.1696
Aitutaki-Mangere,Aitutaki,0.0854
Aitutaki-Motukitiu,Aitutaki,0.1147
Aitutaki-Moturakau,Aitutaki,0.0386
Aitutaki-Muritapua,Aitutaki,0.0404
Aitutaki-Ootu,Aitutaki,1.75
Aitutaki-Papau,Aitutaki,0.0526
Aitutaki-Rapota,Aitutaki,0.0378
Aitutaki-Tapuaeta,Aitutaki,0.0596
Aitutaki-Tapuaeta_Cay,Aitutaki,0.0095
Aitutaki-Tavaerua,Aitutaki,0.1247
Aitutaki-Tavaerua_Iti,Aitutaki,0.0412
Aitutaki-Tekopua,Aitutaki,0.7129
Alacran-Perez,Arrecife_Alacran,0.1403
Alacran-Desertora,Arrecife_Alacran,0.1102
Alacran-Pajaros,Arrecife_Alacran,0.022
Alacran-Chica,Arrecife_Alacran,0.0104
Alacran-West_Desterrada,Arrecife_Alacran,0.1013
Alacran-East_Desterrada,Arrecife_Alacran,0.0401
Bikini-Aerokojlol,Bikini,0.3987
Bikini-Aomen,Bikini,0.1256
Bikini-Bikini,Bikini,2.1635
Bikini-Bokaetoktok,Bikini,0.0254
Bikini-Bokdrolul,Bikini,0.022
Bikini-Bokantuak,Bikini,0.0366
Bikini-Bokonjebl,Bikini,0.0331
Bikini-Bwikor,Bikini,0.0088
Bikini-Enaelo,Bikini,0.0374
Bikini-Eneu,Bikini,1.1585
Bikini-Enidrik,Bikini,0.8691
Bikini-Jalete,Bikini,0.1224
Bikini-Lomilik,Bikini,0.2499
Bikini-Nam,Bikini,0.4823
Bikini-Odrik,Bikini,0.1357
Bikini-Oroken,Bikini,0.0409
Caroline-Ana_Ana,Caroline,0.0216
Caroline-Arundel,Caroline,0.0734
Caroline-Atibu,Caroline,0.0002
Caroline-Azure,Caroline,0.002
Caroline-Bird,Caroline,0.0405
Caroline-Blackfin,Caroline,0.0262
Caroline-Booby,Caroline,0.0084
Caroline-Bosun_Bird,Caroline,0.0086
Caroline-Brothers,Caroline,0.0431
Caroline-Coral,Caroline,0.017
Caroline-Crescent,Caroline,0.031
Caroline-Danger,Caroline,0.0271
Caroline-Eitei,Caroline,0.0141
Caroline-Emerald,Caroline,0.0834
Caroline-Fishball,Caroline,0.0057
Caroline-Kimoa,Caroline,0.018
Caroline-Kota,Caroline,0.0064
Caroline-Lone_Palm,Caroline,0.0199
Caroline-Long,Caroline,0.7598
Caroline-Mannikiba,Caroline,0.2149
Caroline-Matawa,Caroline,0.0171
Caroline-Mouakena,Caroline,0.01
Caroline-Nake,Caroline,0.9172
Caroline-Nautonga,Caroline,0.0034
Caroline-Noddy_Rock,Caroline,0.0002
Caroline-North_Arundel,Caroline,0.0091
Caroline-North_Brothers,Caroline,0.0171
Caroline-North_Pig,Caroline,0.0544
Caroline-Pandanus,Caroline,0.0736
Caroline-Pig,Caroline,0.0721
Caroline-Pisonia,Caroline,0.0245
Caroline-Raurau,Caroline,0.0348
Caroline-Reef_Flat,Caroline,0.0009
Caroline-Scarlet_Crab,Caroline,0.0046
Caroline-Shark,Caroline,0.0798
Caroline-Skull,Caroline,0.0002
Caroline-South,Caroline,1.0441
Caroline-Tridacna,Caroline,0.0908
Caroline-Windward,Caroline,0.1142
Cocos-Ampang,Cocos,0.078
Cocos-Ampang_Kechil,Cocos,0.001
Cocos-Atas,Cocos,3.63
Cocos-Beras,Cocos,0.071
Cocos-Blan,Cocos,0.026
Cocos-Blan_Madar,Cocos,0.0169
Cocos-Blekok,Cocos,0.0185
Cocos-Cheplok,Cocos,0.0937
Cocos-Jambatan,Cocos,0.0263
Cocos-Kambing,Cocos,0.0749
Cocos-Kelapa_Satu,Cocos,0.0041
Cocos-Kembang,Cocos,0.0462
Cocos-Labu,Cocos,0.046
Cocos-Luar,Cocos,0.9689
Cocos-Maria,Cocos,0.017
Cocos-Pandan,Cocos,0.2315
Cocos-Panjang,Cocos,6.23
Cocos-Selma,Cocos,0.952
Cocos-Siput,Cocos,0.1148
Cocos-Tikus,Cocos,0.2928
Cocos-Wak-Idas,Cocos,0.0142
Eniwetok-Bokoluo,Eniwetok,0.073
Eniwetok-Bokombako,Eniwetok,0.1101
Eniwetok-Kirunu,Eniwetok,0.021
Eniwetok-Louj,Eniwetok,0.075
Eniwetok-Bokinwotme,Eniwetok,0.037
Eniwetok-Bokaidrikdrik,Eniwetok,0.001
Eniwetok-Boken_Irene,Eniwetok,0.1734
Eniwetok-Enjebi,Eniwetok,1.0015
Eniwetok-Mijikadrek,Eniwetok,0.059
Eniwetok-Bokenelab,Eniwetok,0.0363
Eniwetok-Cay,Eniwetok,0.0075
Eniwetok-Elle,Eniwetok,0.0351
Eniwetok-Lujor,Eniwetok,0.1826
Eniwetok-Eleleron,Eniwetok,0.0043
Eniwetok-Aomon,Eniwetok,0.4264
Eniwetok-Bijile,Eniwetok,0.1754
Eniwetok-Lojwa,Eniwetok,0.1533
Eniwetok-Alembel,Eniwetok,0.1267
Eniwetok-Billae,Eniwetok,0.0508
Eniwetok-Runit,Eniwetok,0.3423
Eniwetok-Boko,Eniwetok,0.0039
Eniwetok-Inedral,Eniwetok,0.0098
Eniwetok-Van,Eniwetok,0.001
Eniwetok-Jinedrol,Eniwetok,0.0056
Eniwetok-Ananij,Eniwetok,0.0704
Eniwetok-Jinimi,Eniwetok,0.0086
Eniwetok-Japtan,Eniwetok,0.3065
Eniwetok-Jedrol,Eniwetok,0.0144
Eniwetok-Medren,Eniwetok,0.8282
Eniwetok-Bokandretok,Eniwetok,0.015
Eniwetok-Enewetak,Eniwetok,1.234
Eniwetok-Ikuren,Eniwetok,0.113
Eniwetok-Mut,Eniwetok,0.0937
Eniwetok-Boken_Irwin,Eniwetok,0.0611
Eniwetok-Ribewon,Eniwetok,0.0284
Eniwetok-Kidrenen,Eniwetok,0.0706
Eniwetok-Biken,Eniwetok,0.0394
French_Frigate_Shoals-Tern,French_Frigate_Shoals,0.1053
French_Frigate_Shoals-East,French_Frigate_Shoals,0.0359
French_Frigate_Shoals-Trig,French_Frigate_Shoals,0.0233
French_Frigate_Shoals-Whale-Skate,French_Frigate_Shoals,0.032
French_Frigate_Shoals-Round,French_Frigate_Shoals,0.003
French_Frigate_Shoals-Little_Gin,French_Frigate_Shoals,0.0194
French_Frigate_Shoals-Gin,French_Frigate_Shoals,0.0097
French_Frigate_Shoals-Shark,French_Frigate_Shoals,0.0043
Glover-Northeast_Cay,Glover,0.052
Glover-Long_North_Cay,Glover,0.004
Glover-Long_Cay,Glover,0.06
Glover-Middle_Cay,Glover,0.064
Glover-Southwest_Cay,Glover,0.088
Glover-Southwest_II_Cay,Glover,0.065
Jaluit-Jabor,Jaluit,0.2449
Jaluit-Imroj,Jaluit,0.2368
Jaluit-Mejatto,Jaluit,0.2931
Jaluit-Kinajon,Jaluit,0.2234
Jaluit-Majurirek,Jaluit,0.2032
Jaluit-Pinlep,Jaluit,0.9117
Jaluit-Ribon,Jaluit,0.0096
Jaluit-Lijeron,Jaluit,0.0364
Johnston-Akau,Johnston,0.1
Johnston-Hikina,Johnston,0.07
Johnston-Johnston,Johnston,2.41
Johnston-Sand,Johnston,0.09
Kapingamarangi-Matukerekere,Kapingamarangi,0.0147
Kapingamarangi-Pungupungu,Kapingamarangi,0.0473
Kapingamarangi-Tiahu,Kapingamarangi,0.0029
Kapingamarangi-Matawhei,Kapingamarangi,0.0215
Kapingamarangi-Pepeio,Kapingamarangi,0.0003
Kapingamarangi-Rikumanu,Kapingamarangi,0.0035
Kapingamarangi-Hukuniu,Kapingamarangi,0.004
Kapingamarangi-Matuketuke,Kapingamarangi,0.0145
Kapingamarangi-Tirakaume,Kapingamarangi,0.0053
Kapingamarangi-Tipae,Kapingamarangi,0.0058
Kapingamarangi-Tokongo,Kapingamarangi,0.0089
Kapingamarangi-Tirakau,Kapingamarangi,0.0023
Kapingamarangi-Turuaimu,Kapingamarangi,0.0026
Kapingamarangi-Tariha,Kapingamarangi,0.0066
Kapingamarangi-Nikuhatu,Kapingamarangi,0.0079
Kapingamarangi-Hepepa,Kapingamarangi,0.0081
Kapingamarangi-Sakenge,Kapingamarangi,0.0076
Kapingamarangi-Parakahi,Kapingamarangi,0.0095
Kapingamarangi-Ramotu,Kapingamarangi,0.0148
Kapingamarangi-Herekoro,Kapingamarangi,0.0074
Kapingamarangi-Takairongo,Kapingamarangi,0.0183
Kapingamarangi-Hukuhenua,Kapingamarangi,0.021
Kapingamarangi-Pumatahati,Kapingamarangi,0.0204
Kapingamarangi-Tangawaka,Kapingamarangi,0.0272
Kapingamarangi-Tetau,Kapingamarangi,0.0311
Kapingamarangi-Touhou,Kapingamarangi,0.0415
Kapingamarangi-Matiro,Kapingamarangi,0.0047
Kapingamarangi-Taringa,Kapingamarangi,0.0474
Kapingamarangi-Nunakita,Kapingamarangi,0.052
Kapingamarangi-Torongahai,Kapingamarangi,0.07
Kapingamarangi-Ringutoru,Kapingamarangi,0.1103
Kapingamarangi-Werua,Kapingamarangi,0.1695
Kapingamarangi-Hare,Kapingamarangi,0.342
Manuae-Manuae,Manuae,2.12
Manuae-Te_Au_O_Tu,Manuae,3.36
Manuae-Ruakau,Manuae,0.018
Maria-Motu_Nord_Est,Maria,0.8
Maria-Motu_Sud_Est,Maria,0.35
Maria-Motu_Centre,Maria,0.17
